Choice Set,Choice ID,X1,X2,X3,X4,X5,X6
1,1,0,1,0,1,0,1
1,2,1,0,1,0,1,0
2,1,1,0,1,0,0,1
2,2,0,1,0,1,1,0
3,1,0,1,1,1,0,0
3,2,1,0,0,0,1,1
4,1,1,0,1,1,0,0
4,2,0,1,0,0,1,1
5,1,0,1,1,0,1,0
5,2,1,0,0,1,0,1
6,1,0,0,1,1,1,1
6,2,1,1,1,1,0,0
7,1,1,0,1,0,0,0
7,2,1,0,0,1,0,1
8,1,0,0,1,1,0,1
8,2,1,1,0,0,1,0
9,1,0,0,0,1,0,1
9,2,1,1,1,0,1,0
10,1,1,0,0,0,1,0
10,2,1,0,1,1,0,1
11,1,0,1,1,0,0,1
11,2,1,0,0,1,1,0
12,1,0,0,0,0,1,1
12,2,1,1,1,1,0,0
13,1,1,0,0,0,0,0
13,2,0,1,0,1,1,0
14,1,0,0,0,1,1,0
14,2,1,1,0,0,1,1
15,1,0,0,1,1,1,0
15,2,1,1,0,0,0,1
16,1,0,1,0,1,0,0
16,2,0,0,1,0,1,1
